site_id,lon,lat,site_name
6720,-87.8708343505859,32.2041676839193,weighted_sample
6721,-106.612501017253,32.1958343505859,ameriflux
6722,-89.295834350586,32.1958343505859,weighted_sample
6723,-112.195834350586,32.1875010172526,weighted_sample
6724,-108.912501017253,32.1875010172526,ameriflux
6725,-105.537501017253,32.1875010172526,weighted_sample
6726,-89.2541676839193,32.1875010172526,weighted_sample
6727,-116.520834350586,32.1791676839193,weighted_sample
6728,-109.679167683919,32.1708343505859,weighted_sample
6729,-81.6875010172526,32.1708343505859,weighted_sample
6730,-82.8958343505859,32.1541676839193,weighted_sample
6731,-89.820834350586,32.1458343505859,weighted_sample
6732,-96.8125010172526,32.1375010172526,weighted_sample
6733,-85.1875010172526,32.1375010172526,weighted_sample
6734,-94.1041676839193,32.1208343505859,weighted_sample
6735,-85.5041676839193,32.1208343505859,weighted_sample
6736,-94.5958343505859,32.1041676839193,weighted_sample
6737,-92.4708343505859,32.1041676839193,weighted_sample
6738,-106.120834350586,32.0958343505859,weighted_sample
6739,-83.1708343505859,32.0958343505859,weighted_sample
6740,-85.3541676839193,32.0875010172526,weighted_sample
6741,-82.1458343505859,32.0875010172526,weighted_sample
6742,-84.2625010172526,32.0791676839193,weighted_sample
6743,-116.620834350586,32.0708343505859,ameriflux
6744,-105.245834350586,32.0708343505859,weighted_sample
6745,-88.7375010172526,32.0708343505859,weighted_sample
6746,-82.8625010172526,32.0625010172526,weighted_sample
6747,-111.545834350586,32.0541676839193,weighted_sample
6748,-84.6458343505859,32.0541676839193,weighted_sample
6749,-106.595834350586,32.0458343505859,weighted_sample
6750,-98.370834350586,32.0458343505859,ameriflux
6751,-86.5375010172526,32.0375010172526,weighted_sample
6752,-116.604167683919,32.0291676839193,ameriflux
6753,-112.712501017253,32.0291676839193,weighted_sample
6754,-106.804167683919,32.0291676839193,ameriflux
6755,-116.062501017253,32.0208343505859,weighted_sample
6756,-89.3041676839193,32.0125010172526,weighted_sample
6757,-86.695834350586,32.0125010172526,weighted_sample
6758,-115.845834350586,31.9958343505859,weighted_sample
6759,-83.3041676839193,31.9958343505859,weighted_sample
6760,-95.3375010172526,31.9875010172526,weighted_sample
6761,-87.9541676839193,31.9791676839193,ameriflux
