"site","pft"
602,"semiarid.grassland_HPDA"
603,"semiarid.grassland_HPDA"
604,"semiarid.grassland_HPDA"
605,"semiarid.grassland_HPDA"
606,"semiarid.grassland_HPDA"
607,"semiarid.grassland_HPDA"
608,"semiarid.grassland_HPDA"
609,"semiarid.grassland_HPDA"
610,"semiarid.grassland_HPDA"
611,"semiarid.grassland_HPDA"
612,"semiarid.grassland_HPDA"
613,"semiarid.grassland_HPDA"
614,"semiarid.grassland_HPDA"
615,"semiarid.grassland_HPDA"
616,"semiarid.grassland_HPDA"
617,"semiarid.grassland_HPDA"
618,"semiarid.grassland_HPDA"
619,"semiarid.grassland_HPDA"
620,"temperate.deciduous.HPDA"
621,"semiarid.grassland_HPDA"
622,"semiarid.grassland_HPDA"
623,"semiarid.grassland_HPDA"
624,"semiarid.grassland_HPDA"
625,"semiarid.grassland_HPDA"
626,"semiarid.grassland_HPDA"
627,"semiarid.grassland_HPDA"
628,"semiarid.grassland_HPDA"
629,"semiarid.grassland_HPDA"
630,"semiarid.grassland_HPDA"
631,"semiarid.grassland_HPDA"
632,"semiarid.grassland_HPDA"
633,"semiarid.grassland_HPDA"
634,"semiarid.grassland_HPDA"
635,"semiarid.grassland_HPDA"
636,"semiarid.grassland_HPDA"
637,"semiarid.grassland_HPDA"
638,"semiarid.grassland_HPDA"
639,"semiarid.grassland_HPDA"
640,"semiarid.grassland_HPDA"
641,"semiarid.grassland_HPDA"
642,"semiarid.grassland_HPDA"
643,"semiarid.grassland_HPDA"
644,"semiarid.grassland_HPDA"
645,"semiarid.grassland_HPDA"
646,"semiarid.grassland_HPDA"
647,"semiarid.grassland_HPDA"
648,"temperate.deciduous.HPDA"
649,"semiarid.grassland_HPDA"
650,"semiarid.grassland_HPDA"
651,"temperate.deciduous.HPDA"
652,"semiarid.grassland_HPDA"
653,"semiarid.grassland_HPDA"
654,"semiarid.grassland_HPDA"
655,"semiarid.grassland_HPDA"
656,"semiarid.grassland_HPDA"
657,"semiarid.grassland_HPDA"
658,"temperate.deciduous.HPDA"
659,"semiarid.grassland_HPDA"
660,"semiarid.grassland_HPDA"
661,"temperate.deciduous.HPDA"
662,"semiarid.grassland_HPDA"
663,"semiarid.grassland_HPDA"
664,"temperate.deciduous.HPDA"
665,"semiarid.grassland_HPDA"
666,"semiarid.grassland_HPDA"
667,"semiarid.grassland_HPDA"
668,"semiarid.grassland_HPDA"
669,"semiarid.grassland_HPDA"
670,"semiarid.grassland_HPDA"
671,"semiarid.grassland_HPDA"
672,"semiarid.grassland_HPDA"
673,"semiarid.grassland_HPDA"
674,"semiarid.grassland_HPDA"
675,"semiarid.grassland_HPDA"
676,"semiarid.grassland_HPDA"
677,"semiarid.grassland_HPDA"
678,"semiarid.grassland_HPDA"
679,"semiarid.grassland_HPDA"
680,"semiarid.grassland_HPDA"
681,"temperate.deciduous.HPDA"
682,"semiarid.grassland_HPDA"
683,"semiarid.grassland_HPDA"
684,"temperate.deciduous.HPDA"
685,"temperate.deciduous.HPDA"
686,"semiarid.grassland_HPDA"
687,"semiarid.grassland_HPDA"
688,"temperate.deciduous.HPDA"
689,"semiarid.grassland_HPDA"
690,"semiarid.grassland_HPDA"
691,"semiarid.grassland_HPDA"
692,"semiarid.grassland_HPDA"
693,"semiarid.grassland_HPDA"
694,"semiarid.grassland_HPDA"
695,"semiarid.grassland_HPDA"
